3;42;64;88;99;11;2020
11;71;91;63;85;67;2020
19;76;51;75;64;32;2020
27;73;71;22;84;36;2020
35;31;67;41;65;85;2020
43;72;49;92;67;59;2020
51;44;72;65;35;71;2020
59;62;82;73;27;44;2020
63;34;68;82;57;27;2020
71;67;84;52;43;75;2020
79;70;88;56;45;81;2020
87;32;54;29;58;72;2020
95;75;81;68;52;63;2020
103;79;52;27;55;88;2020
111;63;25;46;97;71;2020
119;41;75;82;60;83;2020
127;60;84;50;10;93;2020
135;77;55;28;67;89;2020
143;21;92;52;48;53;2020
153;16;89;63;43;78;2020
161;65;29;28;95;77;2020
169;34;62;59;91;53;2020
177;76;39;26;48;92;2020
185;70;24;59;39;90;2020
193;45;67;26;88;74;2020
203;14;85;68;46;79;2020
211;68;21;28;93;73;2020
219;39;63;58;86;51;2020
227;78;36;23;49;77;2020
235;73;27;58;42;88;2020
243;48;69;27;78;91;2020
251;81;55;85;22;48;2020
259;83;72;48;59;30;2020
267;79;29;28;59;75;2020
275;81;56;36;62;25;2020
277;72;36;25;44;75;2020
285;73;29;58;43;87;2020
293;45;69;27;91;92;2020
303;19;85;65;58;80;2020
311;69;26;27;99;72;2020
319;36;62;56;85;30;2020
327;73;37;28;52;74;2020
335;72;27;59;47;89;2020
343;43;67;26;86;75;2020
353;14;86;67;59;78;2020
361;66;27;28;94;74;2020
369;35;63;59;88;54;2020
377;74;36;27;45;77;2020
385;73;28;59;42;85;2020
393;44;66;25;87;92;2020
403;12;86;66;59;77;2020
411;68;25;28;97;71;2020
419;35;63;57;87;50;2020
427;76;37;27;47;76;2020
435;71;29;59;46;87;2020
443;42;67;26;87;78;2020
451;81;52;83;20;52;2020
462;43;66;25;85;76;2020
473;96;36;75;13;90;2020
481;81;50;85;20;51;2020
492;96;37;76;13;89;2020
500;81;50;85;20;50;2020
503;42;64;88;99;11;2020
511;71;91;63;85;67;2020
519;76;51;75;64;32;2020
527;73;71;22;84;36;2020
535;31;67;41;65;85;2020
543;72;49;92;67;59;2020
551;44;72;65;35;71;2020
559;62;82;73;27;44;2020
563;34;68;82;57;27;2020
571;54;35;79;22;61;2020
579;33;69;63;87;48;2020
583;49;76;24;54;88;2020
591;42;63;75;86;56;2020
599;59;87;24;40;69;2020
603;54;80;27;63;89;2020
611;34;59;81;70;48;2020
615;45;76;58;89;32;2020
623;41;59;76;54;67;2020
631;76;58;88;64;35;2020
639;72;56;82;45;60;2020
643;55;78;45;66;49;2020
651;69;58;70;49;53;2020
659;66;58;70;49;55;2020
663;58;79;45;68;49;2020
671;72;54;68;47;62;2020
679;77;53;71;49;66;2020
690;77;53;69;50;62;2020
701;76;51;72;47;63;2020
709;64;77;45;69;57;2020
720;78;52;74;46;65;2020
728;78;51;72;47;63;2020
739;76;54;72;47;65;2020
750;78;52;74;46;65;2020
761;78;53;74;45;67;2020
772;78;55;74;47;67;2020
783;80;56;74;48;68;2020
86;76;61;75;48;98;2021
263;31;65;58;17;72;2021
266;52;37;61;27;84;2021
31;81;26;31;91;61;2021
271;21;69;57;14;89;2021
274;54;54;82;43;73;2021
91;66;39;82;50;16;2021
276;42;74;56;19;90;2021
94;35;59;74;47;26;2021
281;35;89;78;16;90;2021
284;21;51;79;38;66;2021
34;97;35;78;93;38;2021
289;59;42;67;47;80;2021
292;53;87;46;29;58;2021
99;38;76;86;62;49;2021
297;34;60;53;19;80;2021
300;67;53;83;30;76;2021
302;56;23;82;41;59;2021
102;45;76;59;92;32;2021
307;39;49;16;72;87;2021
310;30;68;54;80;36;2021
2;91;77;33;48;69;2021
315;50;85;61;36;47;2021
318;61;45;79;23;19;2021
107;36;81;23;42;55;2021
323;67;51;38;96;15;2021
326;45;73;56;20;90;2021
110;17;54;33;85;40;2021
331;37;89;75;17;91;2021
334;22;57;79;37;66;2021
39;28;46;37;74;43;2021
339;59;44;67;46;81;2021
342;51;89;46;21;64;2021
115;31;70;58;20;81;2021
347;34;60;53;18;80;2021
350;68;52;84;37;72;2021
352;81;25;83;44;57;2021
118;69;91;64;37;18;2021
357;38;47;15;70;89;2021
360;31;69;52;82;39;2021
42;14;58;23;36;81;2021
365;53;84;61;37;46;2021
368;63;46;76;27;17;2021
123;64;72;53;61;13;2021
373;61;53;38;93;13;2021
376;45;71;56;21;91;2021
126;34;57;70;86;37;2021
381;36;88;76;14;93;2021
384;20;50;79;35;69;2021
15;63;40;68;73;45;2021
389;56;44;67;43;80;2021
392;51;88;46;24;60;2021
131;49;88;61;56;24;2021
397;31;60;53;17;82;2021
400;65;50;83;38;71;2021
402;79;24;82;43;56;2021
134;51;97;63;30;46;2021
407;36;46;14;71;88;2021
410;32;68;53;83;38;2021
47;19;77;36;68;21;2021
415;55;83;60;36;45;2021
418;63;47;76;28;19;2021
139;88;66;22;53;76;2021
423;65;51;38;94;16;2021
426;46;70;56;20;91;2021
142;85;49;64;25;36;2021
431;37;89;75;19;93;2021
434;23;58;79;38;65;2021
50;82;99;46;58;28;2021
439;59;42;67;45;82;2021
442;50;88;46;23;61;2021
147;32;65;87;18;98;2021
447;34;61;53;17;84;2021
450;63;52;84;39;75;2021
150;57;36;96;83;45;2021
455;32;60;53;18;79;2021
458;65;54;85;37;70;2021
461;61;88;46;27;63;2021
152;81;22;95;34;60;2021
466;31;61;53;13;81;2021
469;65;50;84;39;78;2021
472;73;54;38;65;41;2021
18;44;63;89;52;81;2021
477;32;60;54;17;83;2021
480;67;52;84;39;75;2021
157;25;53;19;71;86;2021
485;32;60;53;18;79;2021
488;65;53;85;37;71;2021
491;73;55;38;66;44;2021
160;41;62;55;87;28;2021
496;32;60;54;17;82;2021
499;66;52;84;38;76;2021
55;18;39;79;97;14;2021
502;91;77;33;48;69;2021
165;58;84;61;39;47;2021
507;46;38;77;31;73;2021
510;39;54;44;77;25;2021
168;68;49;73;22;18;2021
515;63;40;68;73;45;2021
518;44;63;89;52;81;2021
58;88;23;91;15;53;2021
523;58;14;69;38;56;2021
526;65;76;74;63;22;2021
173;60;51;38;96;16;2021
531;81;26;31;91;61;2021
534;97;35;78;93;38;2021
176;47;70;55;18;79;2021
539;28;46;37;74;43;2021
542;14;58;23;36;81;2021
7;46;38;77;31;73;2021
547;19;77;36;68;21;2021
550;82;99;46;58;28;2021
181;37;98;75;19;28;2021
555;18;39;79;97;14;2021
558;88;23;91;15;53;2021
184;19;49;72;53;63;2021
562;21;43;75;64;59;2021
62;21;43;75;64;59;2021
567;38;78;85;56;12;2021
570;29;66;62;37;84;2021
189;58;42;67;24;83;2021
575;17;29;48;68;81;2021
578;68;53;80;27;89;2021
